01-02-2019 13:24:55Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 1448, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 2472, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 2896, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 3920, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 4344, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 5368, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 5792, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 6816, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 7240, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 8264, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 8688, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 9712, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 10736, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 848,  total read 11584, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 12608, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 13032, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 1024,  total read 14056, clientId 424270608, packageId 66, transaction Id 1348559723

01-02-2019 13:24:55Data received: read 424,  total read 14480, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 14480, expected: 22698

01-02-2019 13:29:59 Comm failure

01-02-2019 13:30:00Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

